grid_id,active_atelerix,invest_atelerix,active_martes,invest_martes,active_eliomys,invest_eliomys,active_oryctolagus,invest_oryctolagus,corridors
cell_13_29,1,1,0,0,0,0,0,0,"cell_14_29,cell_14_30,cell_14_28"
cell_13_30,0,0,0,0,0,0,0,0,
cell_13_31,0,0,0,0,0,0,0,0,
cell_13_32,0,0,0,0,0,0,0,0,
cell_13_33,0,0,0,0,0,0,0,0,
cell_13_34,0,0,0,0,0,0,0,0,
cell_13_35,0,0,0,0,0,0,0,0,
cell_13_36,0,0,0,0,0,0,0,0,
cell_13_37,0,0,0,0,0,0,0,0,
cell_14_18,0,0,0,0,0,0,0,0,
cell_14_19,0,0,0,0,0,0,0,0,
cell_14_20,0,0,1,1,0,0,0,0,"cell_13_20,cell_13_21"
cell_14_21,0,0,0,0,0,0,0,0,
cell_14_22,0,0,0,0,1,1,0,0,"cell_13_22,cell_13_23,cell_13_21"
cell_14_23,0,0,0,0,0,0,0,0,
cell_14_24,0,0,0,0,0,0,0,0,
cell_14_25,0,0,0,0,0,0,0,0,
cell_14_26,0,0,0,0,0,0,0,0,
cell_14_27,1,1,0,0,0,0,0,0,"cell_14_28,cell_15_28"
cell_14_28,0,0,0,0,0,0,1,1,"cell_14_29,cell_14_27,cell_15_28,cell_13_29,cell_15_29,cell_15_27"
cell_14_29,0,0,0,0,0,0,1,1,"cell_14_30,cell_14_28,cell_13_29,cell_15_29,cell_15_30,cell_15_28"
cell_14_30,1,1,0,0,0,0,0,0,"cell_14_29,cell_15_30,cell_15_31,cell_13_29,cell_15_29"
cell_14_31,0,0,0,0,0,0,0,0,
cell_14_32,0,0,0,0,0,0,0,0,
cell_14_33,0,0,0,0,0,0,0,0,
cell_14_34,0,0,0,0,0,0,0,0,
cell_14_35,0,0,0,0,0,0,0,0,
cell_14_36,0,0,0,0,0,0,0,0,
cell_14_37,0,0,0,0,0,0,0,0,
cell_15_19,0,0,0,0,0,0,0,0,
cell_15_20,0,0,0,0,0,0,0,0,
cell_15_21,0,0,0,0,0,0,0,0,
cell_15_22,0,0,0,0,0,0,0,0,
cell_15_23,0,0,0,0,0,0,0,0,
cell_15_24,0,0,0,0,0,0,0,0,
cell_15_25,0,0,0,0,0,0,0,0,
cell_15_26,0,0,0,0,0,0,0,0,
cell_15_27,1,0,0,0,0,0,0,0,cell_14_28
cell_15_28,1,1,0,0,0,0,0,0,"cell_15_29,cell_14_28,cell_14_29,cell_16_29,cell_14_27"
cell_15_29,0,0,0,0,0,0,1,0,"cell_15_30,cell_15_28,cell_14_29,cell_16_29,cell_14_30,cell_14_28"
cell_15_30,0,0,0,0,0,0,1,1,"cell_15_31,cell_15_29,cell_14_30,cell_16_31,cell_14_29,cell_16_29"
cell_15_31,0,0,1,1,0,0,0,0,"cell_15_30,cell_16_31,cell_14_30"
cell_15_32,0,0,0,0,0,0,0,0,
cell_15_33,0,0,0,0,0,0,0,0,
cell_15_34,0,0,0,0,0,0,0,0,
cell_15_35,0,0,0,0,0,0,0,0,
cell_15_36,0,0,0,0,0,0,0,0,
cell_15_37,0,0,0,0,0,0,0,0,
cell_15_38,0,0,0,0,0,0,0,0,
cell_16_19,0,0,0,0,0,0,0,0,
cell_16_20,0,0,0,0,0,0,0,0,
cell_16_21,0,0,0,0,0,0,0,0,
cell_16_22,0,0,0,0,0,0,0,0,
cell_16_23,0,0,0,0,0,0,0,0,
cell_16_24,0,0,0,0,0,0,0,0,
cell_16_25,0,0,0,0,0,0,0,0,
cell_16_26,0,0,0,0,0,0,0,0,
cell_16_27,0,0,0,0,0,0,0,0,
cell_16_28,0,0,0,0,0,0,0,0,
cell_16_29,1,1,0,0,0,0,0,0,"cell_15_29,cell_15_30,cell_15_28"
cell_16_30,0,0,0,0,0,0,0,0,
cell_16_31,0,0,0,0,1,1,0,0,"cell_15_31,cell_17_31,cell_17_32,cell_15_30"
cell_16_32,0,0,0,0,0,0,0,0,
cell_16_33,0,0,0,0,0,0,0,0,
cell_16_34,0,0,0,0,0,0,0,0,
cell_16_35,0,0,0,0,0,0,0,0,
cell_16_36,0,0,0,0,0,0,0,0,
cell_16_37,0,0,0,0,0,0,0,0,
cell_16_38,0,0,0,0,0,0,0,0,
cell_17_19,0,0,0,0,0,0,0,0,
cell_17_20,1,0,1,0,0,0,0,0,cell_18_21
cell_17_21,0,0,0,0,0,0,0,0,
cell_17_22,0,0,0,0,0,0,0,0,
cell_17_23,0,0,0,0,0,0,0,0,
cell_17_24,0,0,0,0,0,0,0,0,
cell_17_25,0,0,0,0,0,0,0,0,
cell_17_26,0,0,0,0,0,0,0,0,
cell_17_27,0,0,0,0,0,0,0,0,
cell_17_28,0,0,0,0,0,0,0,0,
cell_17_29,0,0,0,0,0,0,0,0,
cell_17_30,0,0,0,0,0,0,0,0,
cell_17_31,0,0,0,0,0,0,1,1,"cell_17_32,cell_16_31,cell_18_32,cell_18_30"
cell_17_32,0,0,1,1,0,0,0,0,"cell_17_31,cell_18_32,cell_16_31"
cell_17_33,0,0,0,0,0,0,0,0,
cell_17_34,0,0,0,0,0,0,0,0,
cell_17_35,0,0,0,0,1,0,0,0,
cell_17_36,0,0,0,0,0,0,0,0,
cell_17_37,0,0,0,0,0,0,0,0,
cell_18_19,0,0,0,0,0,0,0,0,
cell_18_20,0,0,0,0,0,0,0,0,
cell_18_21,0,0,1,1,0,0,0,0,"cell_19_22,cell_17_20"
cell_18_22,0,0,0,0,0,0,0,0,
cell_18_23,0,0,0,0,0,0,0,0,
cell_18_24,0,0,0,0,0,0,0,0,
cell_18_25,0,0,0,0,0,0,0,0,
cell_18_26,0,0,0,0,0,0,1,1,"cell_19_26,cell_19_27"
cell_18_27,0,0,0,0,0,0,0,0,
cell_18_28,0,0,0,0,0,0,0,0,
cell_18_29,0,0,0,0,0,0,0,0,
cell_18_30,0,0,0,0,1,1,0,0,cell_17_31
cell_18_31,0,0,0,0,0,0,0,0,
cell_18_32,0,0,0,0,0,0,1,1,"cell_17_32,cell_17_31"
cell_18_33,0,0,0,0,0,0,0,0,
cell_18_34,0,0,0,0,0,0,0,0,
cell_18_35,0,0,0,0,0,0,0,0,
cell_18_36,0,0,0,0,0,0,0,0,
cell_18_37,0,0,0,0,0,0,0,0,
cell_18_38,0,0,0,0,0,0,0,0,
